Reading Inverted Index
Reading Queries and Computing Scores
1 Q0 3127 1 14.40476558610547 Corpora
1 Q0 2246 2 10.43003385150113 Corpora
1 Q0 1930 3 8.589933060437984 Corpora
1 Q0 3196 4 8.381982796821983 Corpora
1 Q0 3068 5 5.508354856092458 Corpora
1 Q0 2593 6 5.460499308417991 Corpora
1 Q0 2740 7 5.343020348527187 Corpora
1 Q0 2319 8 5.3366264528653105 Corpora
1 Q0 2379 9 5.189560999678649 Corpora
1 Q0 1680 10 5.138557911555516 Corpora
1 Q0 2629 11 5.058379875877375 Corpora
1 Q0 1591 12 5.054557086251675 Corpora
1 Q0 1462 13 5.008024632226972 Corpora
1 Q0 1461 14 4.971087349183238 Corpora
1 Q0 2632 15 4.9337722114527285 Corpora
1 Q0 2597 16 4.869002536357964 Corpora
1 Q0 2735 17 4.8336900240928555 Corpora
1 Q0 2482 18 4.754621193124574 Corpora
1 Q0 1236 19 4.749482962486368 Corpora
1 Q0 2796 20 4.715008893588061 Corpora
1 Q0 2424 21 4.714153921812834 Corpora
1 Q0 1033 22 4.683888046705716 Corpora
1 Q0 1755 23 4.63541333072643 Corpora
1 Q0 1750 24 4.562782307764872 Corpora
1 Q0 1472 25 4.557620222518619 Corpora
1 Q0 2357 26 4.555950213978884 Corpora
1 Q0 2541 27 4.55374334539259 Corpora
1 Q0 2868 28 4.522006012028936 Corpora
1 Q0 2317 29 4.482973819036097 Corpora
1 Q0 2111 30 4.467231355530862 Corpora
1 Q0 2920 31 4.445587652206751 Corpora
1 Q0 2080 32 4.442129012839603 Corpora
1 Q0 2867 33 4.433353680862928 Corpora
1 Q0 1334 34 4.4257187387556085 Corpora
1 Q0 1534 35 4.3925771004576015 Corpora
1 Q0 1247 36 4.373088487921128 Corpora
1 Q0 2840 37 4.369174440639496 Corpora
1 Q0 1728 38 4.358606661313431 Corpora
1 Q0 3025 39 4.346940775169382 Corpora
1 Q0 2378 40 4.3027688795830645 Corpora
1 Q0 2064 41 4.284737508178781 Corpora
1 Q0 1519 42 4.27120433085334 Corpora
1 Q0 2153 43 4.260618183906038 Corpora
1 Q0 2798 44 4.207300948753132 Corpora
1 Q0 1657 45 4.203269377756126 Corpora
1 Q0 2126 46 4.196266248851002 Corpora
1 Q0 2372 47 4.1881807103082345 Corpora
1 Q0 1168 48 4.1483156351239225 Corpora
1 Q0 1766 49 4.142685017973253 Corpora
1 Q0 2399 50 4.13380336277134 Corpora
1 Q0 1752 51 4.130664841537127 Corpora
1 Q0 2320 52 4.128089100777457 Corpora
1 Q0 3089 53 4.0960568938809 Corpora
1 Q0 972 54 4.093307232647463 Corpora
1 Q0 585 55 4.093307232647463 Corpora
1 Q0 1912 56 4.0917475942035555 Corpora
1 Q0 2069 57 4.083882754490783 Corpora
1 Q0 322 58 4.077979530801342 Corpora
1 Q0 2092 59 4.047563328570025 Corpora
1 Q0 3174 60 4.023247564055803 Corpora
1 Q0 1324 61 4.021641177847881 Corpora
1 Q0 1902 62 3.9941177797320595 Corpora
1 Q0 1853 63 3.9499063516569435 Corpora
1 Q0 1264 64 3.9480441597292684 Corpora
1 Q0 1747 65 3.9440659931557125 Corpora
1 Q0 2218 66 3.9241970387190244 Corpora
1 Q0 1938 67 3.9209580889887565 Corpora
1 Q0 2777 68 3.9186640487216846 Corpora
1 Q0 1071 69 3.9071151472404013 Corpora
1 Q0 1163 70 3.882899718588713 Corpora
1 Q0 1923 71 3.882899718588713 Corpora
1 Q0 1749 72 3.878093502642109 Corpora
1 Q0 3137 73 3.875409246589966 Corpora
1 Q0 3087 74 3.836409137323619 Corpora
1 Q0 1464 75 3.8138232037223525 Corpora
1 Q0 1951 76 3.811538878553905 Corpora
1 Q0 2950 77 3.8052903220852734 Corpora
1 Q0 1533 78 3.8034234606741704 Corpora
1 Q0 252 79 3.796289140923755 Corpora
1 Q0 1108 80 3.795925214954096 Corpora
1 Q0 202 81 3.789123430711286 Corpora
1 Q0 1751 82 3.771957809035694 Corpora
1 Q0 2219 83 3.764803699034754 Corpora
