Reading Relevance Judgements..
Reading Document Scores and Evaluating..
Relevance Judgements for Query ID: 12
Rank	DocID		Doc Score	Relevance	Precision	Recall		nCDG
1	CACM-3127	1.1755296	1		1		0.2		1
2	CACM-1461	0.50642985	0		0.5		0.2		0.5
3	CACM-3068	0.40902123	0		0.33333		0.2		0.38009
4	CACM-2246	0.3299833	1		0.5		0.4		0.47909
5	CACM-2111	0.3230007	0		0.4		0.4		0.42116
6	CACM-2069	0.31651866	0		0.33333		0.4		0.42116
7	CACM-2319	0.30766326	0		0.28571		0.4		0.42116
8	CACM-2740	0.30766326	0		0.25		0.4		0.42116
9	CACM-1462	0.28890023	0		0.22222		0.4		0.42116
10	CACM-1728	0.28890023	0		0.2		0.4		0.42116
11	CACM-2597	0.28045723	0		0.18182		0.4		0.42116
12	CACM-2629	0.28045723	1		0.25		0.6		0.49948
13	CACM-1750	0.2741132	0		0.23077		0.6		0.49948
14	CACM-2372	0.26916727	0		0.21429		0.6		0.49948
15	CACM-1247	0.26857498	0		0.2		0.6		0.49948
16	CACM-2080	0.26857498	1		0.25		0.8		0.56967
17	CACM-2482	0.26857498	0		0.23529		0.8		0.56967
18	CACM-2867	0.26857498	0		0.22222		0.8		0.56967
19	CACM-2379	0.26133278	0		0.21053		0.8		0.56967
20	CACM-1923	0.25321493	0		0.2(P@20)		0.8		0.56967
21	CACM-1680	0.24681911	0		0.19048		0.8		0.56967
22	CACM-2840	0.24135262	0		0.18182		0.8		0.56967
23	CACM-3025	0.24135262	0		0.17391		0.8		0.56967
24	CACM-2621	0.23838985	0		0.16667		0.8		0.56967
25	CACM-2378	0.23371433	0		0.16		0.8		0.56967
26	CACM-2541	0.23371433	0		0.15385		0.8		0.56967
27	CACM-2632	0.23371433	0		0.14815		0.8		0.56967
28	CACM-1747	0.23342077	0		0.14286		0.8		0.56967
29	CACM-2317	0.23112017	0		0.13793		0.8		0.56967
30	CACM-2424	0.22735322	0		0.13333		0.8		0.56967
31	CACM-2138	0.22647284	0		0.12903		0.8		0.56967
32	CACM-2151	0.22647284	0		0.125		0.8		0.56967
33	CACM-1751	0.2238125	0		0.12121		0.8		0.56967
34	CACM-2320	0.2238125	0		0.11765		0.8		0.56967
35	CACM-2950	0.2238125	0		0.11429		0.8		0.56967
36	CACM-3196	0.22226858	0		0.11111		0.8		0.56967
37	CACM-3174	0.22156307	0		0.10811		0.8		0.56967
38	CACM-1930	0.21998885	0		0.10526		0.8		0.56967
39	CACM-1226	0.21734169	0		0.10256		0.8		0.56967
40	CACM-3141	0.21734169	0		0.1		0.8		0.56967
41	CACM-1324	0.21344522	0		0.09756		0.8		0.56967
42	CACM-1951	0.21344522	0		0.09524		0.8		0.56967
43	CACM-2522	0.21344522	0		0.09302		0.8		0.56967
44	CACM-1236	0.20095375	0		0.09091		0.8		0.56967
45	CACM-1752	0.20095375	0		0.08889		0.8		0.56967
46	CACM-2777	0.20095375	0		0.08696		0.8		0.56967
47	CACM-0322	0.1986582	0		0.08511		0.8		0.56967
48	CACM-2624	0.1986582	0		0.08333		0.8		0.56967
49	CACM-3026	0.1986582	0		0.08163		0.8		0.56967
50	CACM-2358	0.1930821	0		0.08		0.8		0.56967
51	CACM-2374	0.18991122	0		0.07843		0.8		0.56967
52	CACM-3137	0.18991122	0		0.07692		0.8		0.56967
53	CACM-2036	0.18111807	0		0.07547		0.8		0.56967
54	CACM-3028	0.18111807	0		0.07407		0.8		0.56967
55	CACM-2184	0.160763	0		0.07273		0.8		0.56967
56	CACM-2297	0.160763	0		0.07143		0.8		0.56967
57	CACM-2622	0.160763	0		0.07018		0.8		0.56967
58	CACM-1892	0.15892656	0		0.06897		0.8		0.56967
59	CACM-2625	0.15892656	0		0.0678		0.8		0.56967
60	CACM-0696	0.15825933	0		0.06667		0.8		0.56967
61	CACM-1647	0.15825933	0		0.06557		0.8		0.56967
62	CACM-2095	0.15825933	0		0.06452		0.8		0.56967
63	CACM-2582	0.15825933	0		0.06349		0.8		0.56967
64	CACM-2972	0.15825933	0		0.0625		0.8		0.56967
65	CACM-3006	0.15825933	0		0.06154		0.8		0.56967
66	CACM-3050	0.15825933	0		0.06061		0.8		0.56967
67	CACM-3105	0.15825933	0		0.0597		0.8		0.56967
